Fecha,Contagios,Muertos,Recuperados_tot,Tests,Recuperados,Tests_diario,Activos,Contagios_tot,Muertos_tot,Activos_tot,Contagios_MA,Recuperados_MA,Muertos_MA,Tests_diario_MA,cont_test
2020-09-05,9924,116,340381.0,1374524.0,8760.0,24486.0,1048.0,471806,9739,121686.0,10081.0,7594.428571428572,198.0,21737.85714285714,40.529282038716005
2020-09-06,6986,119,349132.0,1396887.0,8751.0,22363.0,-1884.0,478792,9858,119802.0,10052.285714285714,7875.0,200.14285714285714,22088.285714285714,31.239100299602026
2020-09-07,9215,269,357388.0,1412149.0,8256.0,15262.0,690.0,488007,10127,120492.0,10038.857142857143,8027.571428571428,209.57142857142858,22034.714285714286,60.37871838553269
2020-09-08,12027,277,366590.0,1432624.0,9202.0,20475.0,2548.0,500034,10404,123040.0,10256.42857142857,8316.285714285714,212.14285714285714,22124.714285714286,58.73992673992674
2020-09-09,12259,253,382490.0,1458619.0,15900.0,25995.0,-3894.0,512293,10657,119146.0,10445.857142857143,9565.714285714286,220.14285714285714,22536.14285714286,47.15906905174072
2020-09-10,11905,250,390098.0,1485790.0,7608.0,27171.0,4047.0,524198,10907,123193.0,10428.57142857143,9662.42857142857,220.85714285714286,23014.714285714286,43.815096978396085
2020-09-11,11507,241,400121.0,1513847.0,10023.0,28057.0,1243.0,535705,11148,124436.0,10546.142857142857,9785.714285714286,217.85714285714286,23401.285714285714,41.01293794774922
2020-09-12,10776,115,409771.0,1540101.0,9650.0,26254.0,1011.0,546481,11263,125447.0,10667.857142857143,9912.857142857143,217.71428571428572,23653.85714285714,41.045174068713344
2020-09-13,9056,89,419513.0,1563241.0,9742.0,23140.0,-775.0,555537,11352,124672.0,10963.57142857143,10054.42857142857,213.42857142857142,23764.85714285714,39.13569576490925
2020-09-14,9909,315,428953.0,1581196.0,9440.0,17955.0,154.0,565446,11667,124826.0,11062.714285714286,10223.57142857143,220.0,24149.571428571428,55.18796992481203
2020-09-15,11892,185,438883.0,1602403.0,9930.0,21207.0,1777.0,577338,11852,126603.0,11043.42857142857,10327.57142857143,206.85714285714286,24254.14285714286,56.07582402037063
2020-09-16,11674,263,448266.0,1628194.0,9383.0,25791.0,2028.0,589012,12115,128631.0,10959.857142857143,9396.57142857143,208.28571428571428,24225.0,45.26385173122407
2020-09-17,12701,344,456347.0,1653616.0,8081.0,25422.0,4276.0,601713,12459,132907.0,11073.57142857143,9464.142857142857,221.71428571428572,23975.14285714286,49.96066399181811
2020-09-18,11945,196,467286.0,1682249.0,10939.0,28633.0,810.0,613658,12655,133717.0,11136.142857142857,9595.0,215.28571428571428,24057.428571428572,41.717598575070724
2020-09-19,9276,138,478077.0,1707947.0,10791.0,25698.0,-1653.0,622934,12793,132064.0,10921.857142857143,9758.0,218.57142857142858,23978.0,36.09619425636236
2020-09-20,8431,260,488231.0,1729040.0,10154.0,21093.0,-1983.0,631365,13053,130081.0,10832.57142857143,9816.857142857143,243.0,23685.571428571428,39.97060636230029
2020-09-21,8782,429,498379.0,1765069.0,10148.0,36029.0,-1795.0,640147,13482,128286.0,10671.57142857143,9918.0,259.2857142857143,26267.571428571428,24.374809181492687
2020-09-22,12027,470,508563.0,1790835.0,10184.0,25766.0,1373.0,652174,13952,129659.0,10690.857142857143,9954.285714285714,300.0,26918.85714285714,46.67779243964915
2020-09-23,12625,424,517228.0,1815738.0,8665.0,24903.0,3536.0,664799,14376,133195.0,10826.714285714286,9851.714285714286,323.0,26792.0,50.69670320844878
2020-09-24,13467,389,525486.0,1842991.0,8258.0,27253.0,4820.0,678266,14765,138015.0,10936.142857142857,9877.0,329.42857142857144,27053.571428571428,49.41474333100943
2020-09-25,12969,441,536589.0,1868089.0,11103.0,25098.0,1425.0,691235,15206,139440.0,11082.42857142857,9900.42857142857,364.42857142857144,26548.571428571428,51.67344011475018
2020-09-26,11249,337,546924.0,1890190.0,10335.0,22101.0,577.0,702484,15543,140017.0,11364.285714285714,9835.285714285714,392.85714285714283,26034.714285714286,50.898149405004304
2020-09-27,8841,206,556489.0,1905361.0,9565.0,15171.0,-930.0,711325,15749,139087.0,11422.857142857143,9751.142857142857,385.14285714285717,25188.714285714286,58.27565750444927
2020-09-28,11807,364,565935.0,1926717.0,9446.0,21356.0,1997.0,723132,16113,141084.0,11855.0,9650.857142857143,375.85714285714283,23092.571428571428,55.28657051882375
2020-09-29,13477,406,576715.0,1951789.0,10780.0,25072.0,2291.0,736609,16519,143375.0,12062.142857142857,9736.0,366.7142857142857,22993.428571428572,53.75319081046585
2020-09-30,14392,418,585857.0,1978313.0,9142.0,26524.0,4832.0,751001,16937,148207.0,12314.57142857143,9804.142857142857,365.85714285714283,23225.0,54.26029256522394
2020-10-01,14001,3351,594645.0,2002975.0,8788.0,24662.0,1862.0,765002,20288,150069.0,12390.857142857143,9879.857142857143,789.0,22854.85714285714,56.771551374584384
2020-10-02,14687,311,603140.0,2030512.0,8495.0,27537.0,5881.0,779689,20599,155950.0,12636.285714285714,9507.285714285714,770.4285714285714,23203.285714285714,53.335512219922286
2020-10-03,11129,197,614515.0,2051037.0,11375.0,20525.0,-443.0,790818,20796,155507.0,12619.142857142857,9655.857142857143,750.4285714285714,22978.14285714286,54.22168087697929
2020-10-04,7668,221,626114.0,2064250.0,11599.0,13213.0,-4152.0,798486,21017,151355.0,12451.57142857143,9946.42857142857,752.5714285714286,22698.428571428572,58.03375463558616
2020-10-05,11242,451,636672.0,2084513.0,10558.0,20263.0,233.0,809728,21468,151588.0,12370.857142857143,10105.285714285714,765.0,22542.285714285714,55.480432315057
2020-10-06,14740,357,649017.0,2110994.0,12345.0,26481.0,2038.0,824468,21825,153626.0,12551.285714285714,10328.857142857143,758.0,22743.571428571428,55.662550507911334
2020-10-07,16447,400,660272.0,2140435.0,11255.0,29441.0,4792.0,840915,22225,158418.0,12844.857142857143,10630.714285714286,755.4285714285714,23160.285714285714,55.86427091471078
2020-10-08,15454,485,670725.0,2166276.0,10453.0,25841.0,4516.0,856369,22710,162934.0,13052.42857142857,10868.57142857143,346.0,23328.714285714286,59.80418714446035
2020-10-09,15009,514,684844.0,2191450.0,14119.0,25174.0,376.0,871378,23224,163310.0,13098.42857142857,11672.0,375.0,22991.14285714286,59.621037578453965
2020-10-10,12414,357,697141.0,2211321.0,12297.0,19871.0,-240.0,883792,23581,163070.0,13282.0,11803.714285714286,397.85714285714283,22897.714285714286,62.472950530924464
2020-10-11,10324,287,709474.0,2225558.0,12333.0,14237.0,-2296.0,894116,23868,160774.0,13661.42857142857,11908.57142857143,407.2857142857143,23044.0,72.51527709489358
2020-10-12,9614,318,721380.0,2239514.0,11906.0,13956.0,-2610.0,903730,24186,158164.0,13428.857142857143,12101.142857142857,388.2857142857143,22143.0,68.88793350530239
2020-10-13,13305,385,732582.0,2260058.0,11202.0,20544.0,1718.0,917035,24571,159882.0,13223.857142857143,11937.857142857143,392.2857142857143,21294.85714285714,64.76343457943925
2020-10-14,14932,350,742235.0,2283577.0,9653.0,23519.0,4929.0,931967,24921,164811.0,13007.42857142857,11709.0,385.14285714285717,20448.85714285714,63.4890939240614
2020-10-15,17096,421,751146.0,2311239.0,8911.0,27662.0,7764.0,949063,25342,172575.0,13242.0,11488.714285714286,376.0,20709.0,61.80319571975996
2020-10-16,16546,381,764859.0,2338651.0,13713.0,27412.0,2452.0,965609,25723,175027.0,13461.57142857143,11430.714285714286,357.0,21028.714285714286,60.36042609076316
2020-10-17,13510,383,778501.0,2359606.0,13642.0,20955.0,-515.0,979119,26106,174512.0,13618.142857142857,11622.857142857143,360.7142857142857,21183.571428571428,64.47148651873061
2020-10-18,10561,160,791164.0,2373496.0,12663.0,13890.0,-2262.0,989680,26266,172250.0,13652.0,11670.0,342.57142857142856,21134.0,76.03311735061196
2020-10-19,12982,450,803965.0,2626406.0,12801.0,252910.0,-269.0,1002662,26716,171981.0,14133.142857142857,11797.857142857143,361.42857142857144,55270.28571428572,5.1330512830651225
2020-10-20,16337,380,816243.0,2663880.0,12278.0,37474.0,3679.0,1018999,27096,175660.0,14566.285714285714,11951.57142857143,360.7142857142857,57688.857142857145,43.595559587981
2020-10-21,18326,423,829869.0,2702220.0,13626.0,38340.0,4277.0,1037325,27519,179937.0,15051.142857142857,12519.142857142857,371.14285714285717,59806.142857142855,47.798643714136674
2020-10-22,16325,437,840520.0,2741416.0,10651.0,39196.0,5237.0,1053650,27956,185174.0,14941.0,12767.714285714286,373.42857142857144,61453.857142857145,41.649658128380445
2020-10-23,15718,381,851854.0,2777087.0,11334.0,35671.0,4003.0,1069368,28337,189177.0,14822.714285714286,12427.857142857143,373.42857142857144,62633.71428571428,44.06380533206246
2020-10-24,11968,274,866695.0,2804114.0,14841.0,27027.0,-3147.0,1081336,28611,186030.0,14602.42857142857,12599.142857142857,357.85714285714283,63501.142857142855,44.28164428164428
2020-10-25,9253,283,881113.0,2823654.0,14418.0,19540.0,-5448.0,1090589,28894,180582.0,14415.57142857143,12849.857142857143,375.42857142857144,64308.28571428572,47.35414534288639
2020-10-26,11712,405,894819.0,2850102.0,13706.0,26448.0,-2399.0,1102301,29299,178183.0,14234.142857142857,12979.142857142857,369.0,31956.571428571428,44.283121597096184
2020-10-27,14308,427,909586.0,2882949.0,14767.0,32847.0,-886.0,1116609,29726,177297.0,13944.285714285714,13334.714285714286,375.7142857142857,31295.571428571428,43.55953359515329
2020-10-28,13924,344,921344.0,2915776.0,11758.0,32827.0,1822.0,1130533,30070,179119.0,13315.42857142857,13067.857142857143,364.42857142857144,30508.0,42.41630365248119
2020-10-29,13267,372,931147.0,2947344.0,9803.0,31568.0,3092.0,1143800,30442,182211.0,12878.57142857143,12946.714285714286,355.14285714285717,29418.285714285714,42.02673593512418
2020-10-30,13379,349,946134.0,2980105.0,14987.0,32761.0,-1957.0,1157179,30791,180254.0,12544.42857142857,13468.57142857143,350.57142857142856,29002.571428571428,40.83819175238851
2020-10-31,9745,211,961101.0,3006804.0,14967.0,26699.0,-5433.0,1166924,31002,174821.0,12226.857142857143,13486.57142857143,341.57142857142856,28955.714285714286,36.499494363084764
2020-11-01,6609,138,973939.0,3022449.0,12838.0,15645.0,-6367.0,1173533,31140,168454.0,11849.142857142857,13260.857142857143,320.85714285714283,28399.285714285714,42.243528283796735
2020-11-02,9598,482,985316.0,3047313.0,11377.0,24864.0,-2261.0,1183131,31622,166193.0,11547.142857142857,12928.142857142857,331.85714285714283,28173.0,38.60199485199485
2020-11-03,12145,429,998016.0,3078312.0,12700.0,30999.0,-984.0,1195276,32051,165209.0,11238.142857142857,12632.857142857143,332.14285714285717,27909.0,39.178683183328495
2020-11-04,10652,467,1009278.0,3114747.0,11262.0,36435.0,-1077.0,1205928,32518,164132.0,10770.714285714286,12562.0,349.7142857142857,28424.428571428572,29.23562508576918
2020-11-05,11100,247,1030137.0,3142837.0,20859.0,28090.0,-10006.0,1217028,32765,154126.0,10461.142857142857,14141.42857142857,331.85714285714283,27927.571428571428,39.51584193663225
2020-11-06,11786,370,1042237.0,3177564.0,12100.0,34727.0,-684.0,1228814,33135,153442.0,10233.57142857143,13729.0,334.85714285714283,28208.428571428572,33.939009992225074
2020-11-07,8037,213,1053313.0,3214626.0,11076.0,37062.0,-3252.0,1236851,33348,150190.0,9989.57142857143,13173.142857142857,335.14285714285717,29688.85714285714,21.68528411850413
2020-11-08,5331,210,1062911.0,3228651.0,9598.0,14025.0,-4477.0,1242182,33558,145713.0,9807.0,12710.285714285714,345.42857142857144,29457.428571428572,38.01069518716578
2020-11-09,8317,346,1073577.0,3258221.0,10666.0,29570.0,-2695.0,1250499,33904,143018.0,9624.0,12608.714285714286,326.0,30129.714285714286,28.1264795400744
2020-11-10,11977,279,1081897.0,3289756.0,8320.0,31535.0,3378.0,1262476,34183,146396.0,9600.0,11983.0,304.57142857142856,30206.285714285714,37.98002219755826
2020-11-11,10880,348,1091038.0,3346229.0,9141.0,56473.0,1391.0,1273356,34531,147787.0,9632.57142857143,11680.0,287.57142857142856,33068.857142857145,19.265843854585377
2020-11-12,11163,250,1100180.0,3377749.0,9142.0,31520.0,1771.0,1284519,34781,149558.0,9641.57142857143,10006.142857142857,288.0,33558.857142857145,35.41560913705584
2020-11-13,11859,264,1110477.0,3409487.0,10297.0,31738.0,1298.0,1296378,35045,150856.0,9652.0,9748.57142857143,272.85714285714283,33131.857142857145,37.3653034217657
2020-11-14,8468,262,1119366.0,3434801.0,8889.0,25314.0,-683.0,1304846,35307,150173.0,9713.57142857143,9436.142857142857,279.85714285714283,31453.571428571428,33.45184482894841
2020-11-15,5645,128,1129102.0,3452519.0,9736.0,17718.0,-4219.0,1310491,35435,145954.0,9758.42857142857,9455.857142857143,268.14285714285717,31981.14285714286,31.86025510779998
2020-11-16,7893,292,1140196.0,3474091.0,11094.0,21572.0,-3493.0,1318384,35727,142461.0,9697.857142857143,9517.0,260.42857142857144,30838.571428571428,36.58909697756351
2020-11-17,10621,379,1148833.0,3508664.0,8637.0,34573.0,1605.0,1329005,36106,144066.0,9504.142857142857,9562.285714285714,274.7142857142857,31272.571428571428,30.72050443988083
2020-11-18,10332,241,1156474.0,3536386.0,7641.0,27722.0,2450.0,1339337,36347,146516.0,9425.857142857143,9348.0,259.42857142857144,27165.285714285714,37.27003823677945
2020-11-19,10097,183,1167514.0,3585077.0,11040.0,48691.0,-1126.0,1349434,36530,145390.0,9273.57142857143,9619.142857142857,249.85714285714286,29618.285714285714,20.736891828058575
2020-11-20,9608,260,1177819.0,3622893.0,10305.0,37816.0,-957.0,1359042,36790,144433.0,8952.0,9620.285714285714,249.28571428571428,30486.571428571428,25.407235032790354
2020-11-21,7140,112,1187053.0,3661948.0,9234.0,39055.0,-2206.0,1366182,36902,142227.0,8762.285714285714,9669.57142857143,227.85714285714286,32449.571428571428,18.281910126744336
2020-11-22,4184,100,1195492.0,3677688.0,8439.0,15740.0,-4355.0,1370366,37002,137872.0,8553.57142857143,9484.285714285714,223.85714285714286,32167.0,26.581956797966967
2020-11-23,4625,119,1203800.0,3690837.0,8308.0,13149.0,-3802.0,1374991,37121,134070.0,8086.714285714285,9086.285714285714,199.14285714285714,30963.714285714286,35.17377747357213
2020-11-24,7164,310,1210634.0,3712880.0,6834.0,22043.0,20.0,1382155,37431,134090.0,7592.857142857143,8828.714285714286,189.28571428571428,29173.714285714286,32.500113414689466
2020-11-25,8593,281,1217284.0,3742317.0,6650.0,29437.0,1662.0,1390748,37712,135752.0,7344.428571428572,8687.142857142857,195.0,29418.714285714286,29.191153989876682
2020-11-26,9043,229,1226662.0,3775098.0,9378.0,32781.0,-564.0,1399791,37941,135188.0,7193.857142857143,8449.714285714286,201.57142857142858,27145.85714285714,27.586101705256095
2020-11-27,7846,275,1235257.0,3830421.0,8595.0,55323.0,-1024.0,1407637,38216,134164.0,6942.142857142857,8205.42857142857,203.71428571428572,29646.85714285714,14.182166549174847
2020-11-28,6098,106,1242877.0,3855893.0,7620.0,25472.0,-1628.0,1413735,38322,132536.0,6793.285714285715,7974.857142857143,202.85714285714286,27706.428571428572,23.94001256281407
2020-11-29,5432,151,1249843.0,3873231.0,6966.0,17338.0,-1685.0,1419167,38473,130851.0,6971.571428571428,7764.428571428572,210.14285714285714,27934.714285714286,31.330026531318488
2020-11-30,5366,257,1257227.0,3892522.0,7384.0,19291.0,-2275.0,1424533,38730,128576.0,7077.428571428572,7632.428571428572,229.85714285714286,28812.14285714286,27.816080037323104
2020-12-01,8037,198,1263251.0,3926286.0,6024.0,33764.0,1815.0,1432570,38928,130391.0,7202.142857142857,7516.714285714285,213.85714285714286,30486.571428571428,23.803459305769458
2020-12-02,7533,228,1268358.0,3975760.0,5107.0,49474.0,2198.0,1440103,39156,132589.0,7050.714285714285,7296.285714285715,206.28571428571428,33349.0,15.226179407365484
2020-12-03,7629,149,1274675.0,4022872.0,6317.0,47112.0,1163.0,1447732,39305,133752.0,6848.714285714285,6859.0,194.85714285714286,35396.28571428572,16.19332654100866
2020-12-04,6899,206,1281955.0,4055795.0,7280.0,32923.0,-587.0,1454631,39511,133165.0,6713.428571428572,6671.142857142857,185.0,32196.285714285714,20.95495550223248
2020-12-05,5201,121,1288785.0,4084362.0,6830.0,28567.0,-1750.0,1459832,39632,131415.0,6585.285714285715,6558.285714285715,187.14285714285714,32638.428571428572,18.206321979906885
